match_date,match_time,final_score,home_team,away_team,season,round,goals
8. february 2022,19:45,1:3,Harrogate Town,Crawley Town,2021-2022,31,{None: 'away'}
8. february 2022,19:45,3:1,Hartlepool United,Barrow AFC,2021-2022,31,{None: 'home'}
8. february 2022,19:45,2:1,Mansfield Town,Colchester United,2021-2022,31,"{None: 'away', '90': 'home'}"
8. february 2022,19:45,1:0,Northampton Town,Newport County,2021-2022,31,{None: 'home'}
8. february 2022,19:45,2:1,Oldham Athletic,Bristol Rovers,2021-2022,31,{None: 'away'}
8. february 2022,19:45,0:0,Sutton United,Salford City,2021-2022,31,
8. february 2022,19:45,1:0,Scunthorpe United,Walsall FC,2021-2022,31,{None: 'home'}
8. february 2022,19:45,3:0,Tranmere Rovers,Swindon Town,2021-2022,31,"{None: 'home', '72': 'home'}"
12. february 2022,15:00,0:0,Barrow AFC,Stevenage FC,2021-2022,32,
12. february 2022,15:00,0:1,Bradford City,Exeter City,2021-2022,32,{None: 'away'}
12. february 2022,15:00,0:0,Bristol Rovers,Mansfield Town,2021-2022,32,
12. february 2022,15:00,2:2,Colchester United,Carlisle United,2021-2022,32,{None: 'away'}
12. february 2022,15:00,0:1,Crawley Town,Hartlepool United,2021-2022,32,{None: 'away'}
12. february 2022,15:00,1:0,Walsall FC,Tranmere Rovers,2021-2022,32,{'85': 'home'}
12. february 2022,15:00,0:2,Leyton Orient,Salford City,2021-2022,32,{None: 'away'}
12. february 2022,15:00,3:3,Newport County,Oldham Athletic,2021-2022,32,{None: 'home'}
12. february 2022,15:00,0:0,Port Vale FC,Northampton Town,2021-2022,32,
12. february 2022,15:00,3:3,Rochdale AFC,Harrogate Town,2021-2022,32,"{None: 'home', '24': 'away'}"
12. february 2022,15:00,1:1,Sutton United,Forest Green Rovers,2021-2022,32,{None: 'away'}
12. february 2022,15:00,3:0,Swindon Town,Scunthorpe United,2021-2022,32,"{None: 'home', '85': 'home'}"
19. february 2022,14:00,3:0,Northampton Town,Colchester United,2021-2022,33,{None: 'home'}
19. february 2022,15:00,1:1,Newport County,Mansfield Town,2021-2022,33,"{'68': 'away', '82': 'home'}"
19. february 2022,15:00,0:3,Carlisle United,Swindon Town,2021-2022,33,{None: 'away'}
19. february 2022,15:00,0:4,Stevenage FC,Bristol Rovers,2021-2022,33,{None: 'away'}
19. february 2022,15:00,0:1,Forest Green Rovers,Walsall FC,2021-2022,33,{None: 'away'}
19. february 2022,15:00,1:1,Hartlepool United,Sutton United,2021-2022,33,{None: 'home'}
19. february 2022,15:00,2:0,Oldham Athletic,Bradford City,2021-2022,33,{None: 'home'}
19. february 2022,15:00,1:2,Scunthorpe United,Rochdale AFC,2021-2022,33,{None: 'away'}
19. february 2022,15:00,1:1,Tranmere Rovers,Port Vale FC,2021-2022,33,{None: 'away'}
22. march 2022,19:00,0:3,Harrogate Town,Leyton Orient,2021-2022,33,{None: 'away'}
29. march 2022,19:45,2:1,Salford City,Crawley Town,2021-2022,33,{None: 'away'}
26. april 2022,19:45,2:1,Exeter City,Barrow AFC,2021-2022,33,"{'11': 'away', None: 'home'}"
26. february 2022,15:00,0:0,Barrow AFC,Harrogate Town,2021-2022,34,
26. february 2022,15:00,0:2,Bradford City,Mansfield Town,2021-2022,34,{None: 'away'}
26. february 2022,15:00,1:1,Bristol Rovers,Exeter City,2021-2022,34,{None: 'away'}
26. february 2022,15:00,1:1,Colchester United,Oldham Athletic,2021-2022,34,"{None: 'away', '52': 'home'}"
26. february 2022,15:00,2:1,Crawley Town,Forest Green Rovers,2021-2022,34,{None: 'away'}
26. february 2022,15:00,3:1,Walsall FC,Hartlepool United,2021-2022,34,{None: 'home'}
26. february 2022,15:00,0:1,Leyton Orient,Carlisle United,2021-2022,34,{None: 'away'}
26. february 2022,15:00,4:2,Newport County,Tranmere Rovers,2021-2022,34,"{None: 'home', '57': 'home', '84': 'away'}"
26. february 2022,15:00,2:0,Port Vale FC,Stevenage FC,2021-2022,34,"{'6': 'home', None: 'home'}"
26. february 2022,15:00,1:0,Rochdale AFC,Northampton Town,2021-2022,34,{None: 'home'}
26. february 2022,15:00,4:1,Sutton United,Scunthorpe United,2021-2022,34,"{'29': 'home', None: 'home', '79': 'away'}"
26. february 2022,15:00,1:2,Swindon Town,Salford City,2021-2022,34,{None: 'away'}
4. march 2022,19:45,2:1,Mansfield Town,Exeter City,2021-2022,35,{None: 'away'}
5. march 2022,12:30,1:2,Harrogate Town,Hartlepool United,2021-2022,35,{None: 'away'}
5. march 2022,15:00,1:1,Barrow AFC,Walsall FC,2021-2022,35,{None: 'away'}
5. march 2022,15:00,1:2,Bradford City,Swindon Town,2021-2022,35,"{None: 'away', '90': 'away'}"
5. march 2022,15:00,1:0,Colchester United,Port Vale FC,2021-2022,35,{None: 'home'}
5. march 2022,15:00,0:0,Crawley Town,Scunthorpe United,2021-2022,35,
5. march 2022,15:00,2:2,Leyton Orient,Stevenage FC,2021-2022,35,{None: 'home'}
5. march 2022,15:00,1:0,Newport County,Bristol Rovers,2021-2022,35,{None: 'home'}
5. march 2022,15:00,3:2,Northampton Town,Tranmere Rovers,2021-2022,35,"{None: 'away', '88': 'away'}"
5. march 2022,15:00,1:2,Oldham Athletic,Carlisle United,2021-2022,35,{None: 'away'}
5. march 2022,15:00,1:1,Salford City,Forest Green Rovers,2021-2022,35,{None: 'away'}
5. march 2022,15:00,3:0,Sutton United,Rochdale AFC,2021-2022,35,{None: 'home'}
11. march 2022,19:45,3:2,Tranmere Rovers,Mansfield Town,2021-2022,36,{None: 'home'}
12. march 2022,15:00,3:0,Bristol Rovers,Harrogate Town,2021-2022,36,{None: 'home'}
12. march 2022,15:00,2:1,Carlisle United,Northampton Town,2021-2022,36,"{None: 'away', '90': 'home'}"
12. march 2022,15:00,0:0,Exeter City,Salford City,2021-2022,36,
12. march 2022,15:00,0:2,Stevenage FC,Newport County,2021-2022,36,{None: 'away'}
12. march 2022,15:00,1:0,Walsall FC,Sutton United,2021-2022,36,{'33': 'home'}
12. march 2022,15:00,0:2,Forest Green Rovers,Bradford City,2021-2022,36,{None: 'away'}
12. march 2022,15:00,0:0,Hartlepool United,Leyton Orient,2021-2022,36,
12. march 2022,15:00,4:1,Port Vale FC,Crawley Town,2021-2022,36,"{'9': 'away', None: 'home'}"
12. march 2022,15:00,0:0,Rochdale AFC,Barrow AFC,2021-2022,36,
12. march 2022,15:00,1:3,Scunthorpe United,Colchester United,2021-2022,36,{None: 'away'}
12. march 2022,15:00,1:0,Swindon Town,Oldham Athletic,2021-2022,36,{None: 'home'}
15. march 2022,19:45,1:0,Bristol Rovers,Colchester United,2021-2022,37,{None: 'home'}
15. march 2022,19:45,1:2,Carlisle United,Newport County,2021-2022,37,{None: 'home'}
15. march 2022,19:45,2:1,Exeter City,Crawley Town,2021-2022,37,{None: 'away'}
15. march 2022,19:45,1:2,Stevenage FC,Northampton Town,2021-2022,37,{None: 'home'}
15. march 2022,19:45,2:1,Walsall FC,Oldham Athletic,2021-2022,37,{None: 'home'}
15. march 2022,19:45,1:1,Forest Green Rovers,Leyton Orient,2021-2022,37,{None: 'away'}
15. march 2022,19:45,0:2,Hartlepool United,Bradford City,2021-2022,37,{None: 'away'}
15. march 2022,19:45,3:1,Port Vale FC,Mansfield Town,2021-2022,37,{None: 'home'}
15. march 2022,19:45,1:1,Rochdale AFC,Salford City,2021-2022,37,{None: 'away'}
15. march 2022,19:45,0:1,Scunthorpe United,Barrow AFC,2021-2022,37,{None: 'away'}
15. march 2022,19:45,2:1,Swindon Town,Sutton United,2021-2022,37,{None: 'home'}
15. march 2022,19:45,2:0,Tranmere Rovers,Harrogate Town,2021-2022,37,"{None: 'home', '65': 'home'}"
18. march 2022,19:45,2:3,Newport County,Hartlepool United,2021-2022,38,"{'16': 'home', None: 'away'}"
19. march 2022,15:00,1:2,Barrow AFC,Carlisle United,2021-2022,38,{None: 'home'}
19. march 2022,15:00,1:2,Bradford City,Port Vale FC,2021-2022,38,{None: 'home'}
19. march 2022,15:00,3:1,Crawley Town,Swindon Town,2021-2022,38,{None: 'home'}
19. march 2022,15:00,1:1,Harrogate Town,Walsall FC,2021-2022,38,"{'60': 'away', None: 'home'}"
19. march 2022,15:00,3:1,Leyton Orient,Rochdale AFC,2021-2022,38,{None: 'home'}
19. march 2022,15:00,0:1,Northampton Town,Bristol Rovers,2021-2022,38,{None: 'away'}
19. march 2022,15:00,0:2,Oldham Athletic,Exeter City,2021-2022,38,{None: 'away'}
19. march 2022,15:00,5:1,Salford City,Scunthorpe United,2021-2022,38,{None: 'home'}
19. march 2022,15:00,1:1,Sutton United,Tranmere Rovers,2021-2022,38,{None: 'away'}
21. march 2022,19:45,0:1,Colchester United,Forest Green Rovers,2021-2022,38,{None: 'away'}
26. april 2022,19:45,2:0,Mansfield Town,Stevenage FC,2021-2022,38,{None: 'home'}
26. march 2022,15:00,0:0,Bradford City,Newport County,2021-2022,39,
26. march 2022,15:00,1:0,Carlisle United,Bristol Rovers,2021-2022,39,{None: 'home'}
26. march 2022,15:00,1:0,Colchester United,Tranmere Rovers,2021-2022,39,{None: 'home'}
26. march 2022,15:00,1:0,Crawley Town,Rochdale AFC,2021-2022,39,{None: 'home'}
26. march 2022,15:00,2:1,Exeter City,Stevenage FC,2021-2022,39,{None: 'home'}
26. march 2022,15:00,2:0,Leyton Orient,Barrow AFC,2021-2022,39,{None: 'home'}
26. march 2022,15:00,2:0,Northampton Town,Hartlepool United,2021-2022,39,{None: 'home'}
26. march 2022,15:00,1:2,Oldham Athletic,Mansfield Town,2021-2022,39,{None: 'away'}
26. march 2022,15:00,2:0,Port Vale FC,Sutton United,2021-2022,39,{None: 'home'}
26. march 2022,15:00,2:1,Salford City,Walsall FC,2021-2022,39,"{None: 'home', '66': 'home'}"
26. march 2022,15:00,0:3,Scunthorpe United,Harrogate Town,2021-2022,39,{None: 'away'}
26. april 2022,19:45,2:1,Swindon Town,Forest Green Rovers,2021-2022,39,{None: 'away'}
2. april 2022,15:00,1:2,Barrow AFC,Port Vale FC,2021-2022,40,{None: 'away'}
2. april 2022,15:00,2:1,Bristol Rovers,Bradford City,2021-2022,40,{None: 'home'}
2. april 2022,15:00,0:1,Stevenage FC,Oldham Athletic,2021-2022,40,{None: 'away'}
2. april 2022,15:00,0:2,Walsall FC,Leyton Orient,2021-2022,40,{None: 'away'}
2. april 2022,15:00,1:0,Forest Green Rovers,Scunthorpe United,2021-2022,40,{None: 'home'}
2. april 2022,15:00,1:2,Harrogate Town,Colchester United,2021-2022,40,{None: 'away'}
2. april 2022,15:00,0:2,Hartlepool United,Salford City,2021-2022,40,{None: 'away'}
2. april 2022,15:00,1:0,Mansfield Town,Northampton Town,2021-2022,40,{None: 'home'}
2. april 2022,15:00,0:1,Newport County,Exeter City,2021-2022,40,{None: 'away'}
2. april 2022,15:00,0:0,Rochdale AFC,Swindon Town,2021-2022,40,
2. april 2022,15:00,2:2,Tranmere Rovers,Carlisle United,2021-2022,40,{None: 'away'}
26. april 2022,19:45,3:0,Sutton United,Crawley Town,2021-2022,40,{None: 'home'}
9. april 2022,15:00,0:1,Carlisle United,Exeter City,2021-2022,41,{None: 'away'}
9. april 2022,15:00,0:2,Colchester United,Stevenage FC,2021-2022,41,{None: 'away'}
9. april 2022,15:00,1:0,Crawley Town,Barrow AFC,2021-2022,41,{None: 'home'}
9. april 2022,15:00,1:1,Forest Green Rovers,Hartlepool United,2021-2022,41,{None: 'away'}
9. april 2022,15:00,0:0,Northampton Town,Bradford City,2021-2022,41,
9. april 2022,15:00,3:2,Port Vale FC,Oldham Athletic,2021-2022,41,{None: 'home'}
9. april 2022,15:00,1:0,Rochdale AFC,Walsall FC,2021-2022,41,{None: 'home'}
9. april 2022,15:00,2:0,Salford City,Harrogate Town,2021-2022,41,{None: 'home'}
9. april 2022,15:00,0:4,Scunthorpe United,Mansfield Town,2021-2022,41,"{'16': 'away', None: 'away'}"
9. april 2022,15:00,1:0,Sutton United,Leyton Orient,2021-2022,41,{None: 'home'}
9. april 2022,15:00,0:1,Swindon Town,Newport County,2021-2022,41,{'90': 'away'}
9. april 2022,15:00,1:1,Tranmere Rovers,Bristol Rovers,2021-2022,41,{None: 'away'}
15. april 2022,13:00,2:0,Exeter City,Colchester United,2021-2022,42,{None: 'home'}
15. april 2022,15:00,4:0,Barrow AFC,Forest Green Rovers,2021-2022,42,{None: 'home'}
15. april 2022,15:00,1:1,Bradford City,Tranmere Rovers,2021-2022,42,{None: 'away'}
15. april 2022,15:00,1:0,Bristol Rovers,Salford City,2021-2022,42,{None: 'home'}
15. april 2022,15:00,1:0,Stevenage FC,Rochdale AFC,2021-2022,42,{None: 'home'}
15. april 2022,15:00,1:0,Walsall FC,Carlisle United,2021-2022,42,{None: 'home'}
15. april 2022,15:00,1:4,Harrogate Town,Swindon Town,2021-2022,42,{None: 'home'}
15. april 2022,15:00,0:1,Hartlepool United,Port Vale FC,2021-2022,42,{None: 'away'}
15. april 2022,15:00,3:0,Leyton Orient,Scunthorpe United,2021-2022,42,{None: 'home'}
15. april 2022,15:00,2:3,Mansfield Town,Sutton United,2021-2022,42,"{None: 'home', '78': 'home'}"
15. april 2022,15:00,1:2,Newport County,Crawley Town,2021-2022,42,{None: 'home'}
15. april 2022,15:00,0:2,Oldham Athletic,Northampton Town,2021-2022,42,{None: 'away'}
18. april 2022,15:00,1:0,Carlisle United,Mansfield Town,2021-2022,43,{None: 'home'}
18. april 2022,15:00,3:0,Colchester United,Bradford City,2021-2022,43,{None: 'home'}
18. april 2022,15:00,1:0,Crawley Town,Walsall FC,2021-2022,43,{None: 'home'}
18. april 2022,15:00,2:0,Forest Green Rovers,Oldham Athletic,2021-2022,43,{None: 'home'}
18. april 2022,15:00,3:0,Northampton Town,Harrogate Town,2021-2022,43,{None: 'home'}
18. april 2022,15:00,1:3,Port Vale FC,Bristol Rovers,2021-2022,43,{None: 'away'}
18. april 2022,15:00,2:1,Rochdale AFC,Hartlepool United,2021-2022,43,{None: 'home'}
18. april 2022,15:00,2:2,Salford City,Barrow AFC,2021-2022,43,{None: 'home'}
18. april 2022,15:00,1:1,Scunthorpe United,Stevenage FC,2021-2022,43,{None: 'home'}
18. april 2022,15:00,1:0,Sutton United,Newport County,2021-2022,43,{'45': 'home'}
18. april 2022,15:00,1:2,Swindon Town,Leyton Orient,2021-2022,43,{None: 'home'}
18. april 2022,15:00,2:0,Tranmere Rovers,Exeter City,2021-2022,43,{None: 'home'}
22. april 2022,19:45,1:2,Newport County,Colchester United,2021-2022,44,{None: 'away'}
23. april 2022,15:00,1:0,Barrow AFC,Sutton United,2021-2022,44,{None: 'home'}
23. april 2022,15:00,2:1,Bradford City,Scunthorpe United,2021-2022,44,"{None: 'home', '33': 'away'}"
23. april 2022,15:00,0:0,Bristol Rovers,Forest Green Rovers,2021-2022,44,
23. april 2022,15:00,2:0,Exeter City,Rochdale AFC,2021-2022,44,{None: 'home'}
23. april 2022,15:00,2:0,Stevenage FC,Tranmere Rovers,2021-2022,44,"{'23': 'home', None: 'home'}"
23. april 2022,15:00,2:0,Walsall FC,Port Vale FC,2021-2022,44,{None: 'home'}
23. april 2022,15:00,3:0,Harrogate Town,Carlisle United,2021-2022,44,{None: 'home'}
23. april 2022,15:00,0:3,Hartlepool United,Swindon Town,2021-2022,44,{None: 'away'}
23. april 2022,15:00,2:4,Leyton Orient,Northampton Town,2021-2022,44,{None: 'home'}
23. april 2022,15:00,2:0,Mansfield Town,Crawley Town,2021-2022,44,{None: 'home'}
23. april 2022,15:00,1:2,Oldham Athletic,Salford City,2021-2022,44,"{None: 'away', '33': 'home'}"
30. april 2022,15:00,2:1,Carlisle United,Stevenage FC,2021-2022,45,"{None: 'home', '88': 'away'}"
30. april 2022,15:00,2:2,Colchester United,Walsall FC,2021-2022,45,"{None: 'away', '56': 'home'}"
30. april 2022,15:00,0:2,Crawley Town,Leyton Orient,2021-2022,45,{None: 'away'}
30. april 2022,15:00,1:3,Forest Green Rovers,Harrogate Town,2021-2022,45,"{'40': 'away', '45': 'home', None: 'away'}"
30. april 2022,15:00,1:1,Northampton Town,Exeter City,2021-2022,45,{None: 'away'}
30. april 2022,15:00,3:4,Rochdale AFC,Bristol Rovers,2021-2022,45,{None: 'away'}
30. april 2022,15:00,1:1,Scunthorpe United,Hartlepool United,2021-2022,45,"{None: 'home', '72': 'away'}"
30. april 2022,15:00,1:4,Sutton United,Bradford City,2021-2022,45,{None: 'away'}
30. april 2022,15:00,2:1,Swindon Town,Barrow AFC,2021-2022,45,{None: 'home'}
30. april 2022,15:00,2:0,Tranmere Rovers,Oldham Athletic,2021-2022,45,{None: 'home'}
2. may 2022,12:30,2:2,Salford City,Mansfield Town,2021-2022,45,{None: 'home'}
2. may 2022,15:00,1:2,Port Vale FC,Newport County,2021-2022,45,{None: 'away'}
7. may 2022,15:00,1:3,Barrow AFC,Northampton Town,2021-2022,46,{None: 'home'}
7. may 2022,15:00,2:0,Bradford City,Carlisle United,2021-2022,46,{None: 'home'}
7. may 2022,15:00,7:0,Bristol Rovers,Scunthorpe United,2021-2022,46,"{'18': 'home', None: 'home'}"
7. may 2022,15:00,0:1,Exeter City,Port Vale FC,2021-2022,46,{None: 'away'}
7. may 2022,15:00,4:2,Stevenage FC,Salford City,2021-2022,46,"{None: 'home', '23': 'home'}"
7. may 2022,15:00,0:3,Walsall FC,Swindon Town,2021-2022,46,"{None: 'away', '45': 'away'}"
7. may 2022,15:00,0:2,Harrogate Town,Sutton United,2021-2022,46,{None: 'away'}
7. may 2022,15:00,0:2,Hartlepool United,Colchester United,2021-2022,46,{None: 'away'}
7. may 2022,15:00,0:1,Leyton Orient,Tranmere Rovers,2021-2022,46,{None: 'away'}
7. may 2022,15:00,2:2,Mansfield Town,Forest Green Rovers,2021-2022,46,{None: 'away'}
7. may 2022,15:00,0:2,Newport County,Rochdale AFC,2021-2022,46,{None: 'away'}
7. may 2022,15:00,3:3,Oldham Athletic,Crawley Town,2021-2022,46,{None: 'away'}
